radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KMOB,10/6/2006,Fall,y,,,,,,,,,,
KMOB,10/7/2006,Fall,y,,,,,,,,,,
KMOB,10/8/2006,Fall,y,,,,,,,,,,
KMOB,10/9/2006,Fall,y,,,,,,,,,,
KMOB,10/10/2006,Fall,y,,,,,,,,,,
KMOB,10/11/2006,Fall,n,,,,,,,,,,
KMOB,10/12/2006,Fall,y,,,,,,,,,,
KMOB,10/13/2006,Fall,y,,,,,,,,,,
KMOB,10/14/2006,Fall,y,,,,,,,,,,
KMOB,10/15/2006,Fall,n,,,,,,,,,,
KMOB,10/16/2006,Fall,n,,,,,,,,,,
KMOB,10/17/2006,Fall,n,,,,,,,,,,
KMOB,10/18/2006,Fall,n,,,,,,,,,,
KMOB,10/19/2006,Fall,y,,,,,,,,,,
KMOB,10/20/2006,Fall,y,,,,,,,,,,
KMOB,10/21/2006,Fall,n,,,,,,,,,,
KMOB,10/22/2006,Fall,y,,,,,,,,,,
KMOB,10/23/2006,Fall,y,,,,,,,,,,
KMOB,10/24/2006,Fall,y,,,,,,,,,,
KMOB,10/25/2006,Fall,n,,,,,,,,,,
KMOB,10/26/2006,Fall,n,,,,,,,,,,
KMOB,10/27/2006,Fall,n,,,,,,,,,,
KMOB,10/28/2006,Fall,n,,,,,,,,,,
KMOB,10/29/2006,Fall,n,,,,,,,,,,
KMOB,10/30/2006,Fall,y,,,,,,,,,,
KMOB,10/31/2006,Fall,y,,,,,,,,,,
KMOB,11/1/2006,Fall,y,,,,,,,,,,
KMOB,9/1/2007,Fall,n,,,,,,,,,,
KMOB,9/2/2007,Fall,n,,,,,,,,,,
KMOB,9/3/2007,Fall,n,,,,,,,,,,
KMOB,9/4/2007,Fall,n,,,,,,,,,,
KMOB,9/5/2007,Fall,y,,,,,,,,,,
KMOB,9/6/2007,Fall,n,,,,,,,,,,
KMOB,9/7/2007,Fall,n,,,,,,,,,,
KMOB,9/8/2007,Fall,y,,,,,,,,,,
KMOB,9/9/2007,Fall,y,,,,,,,,,,
